witness soak start 2026-06-17T03:42:31Z dur=28800s img=0.17.0 shape=witness
05:53:32 iter=92 wit=1177 mempoolReject=1177 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:55:10 iter=93 wit=1178 mempoolReject=1178 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:57:30 iter=94 wit=1199 mempoolReject=1199 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:59:05 iter=95 wit=1209 mempoolReject=1209 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:00:01 iter=96 wit=1210 mempoolReject=1210 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:01:21 iter=97 wit=1221 mempoolReject=1221 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:03:20 iter=98 wit=1233 mempoolReject=1233 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:04:52 iter=99 wit=1244 mempoolReject=1244 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:06:02 iter=100 wit=1245 mempoolReject=1245 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:07:25 iter=101 wit=1255 mempoolReject=1255 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:08:54 iter=102 wit=1265 mempoolReject=1265 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:11:05 iter=103 wit=1276 mempoolReject=1276 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:13:20 iter=104 wit=1286 mempoolReject=1286 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:14:33 iter=105 wit=1296 mempoolReject=1296 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:16:18 iter=106 wit=1307 mempoolReject=1307 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:18:14 iter=107 wit=1318 mempoolReject=1318 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:19:12 iter=108 wit=1330 mempoolReject=1330 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:20:38 iter=109 wit=1330 mempoolReject=1330 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:21:49 iter=110 wit=1340 mempoolReject=1340 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:22:57 iter=111 wit=1351 mempoolReject=1351 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:24:38 iter=112 wit=1363 mempoolReject=1363 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:25:58 iter=113 wit=1363 mempoolReject=1363 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:26:54 iter=114 wit=1373 mempoolReject=1373 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:27:49 iter=115 wit=1374 mempoolReject=1374 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:29:34 iter=116 wit=1384 mempoolReject=1384 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:30:26 iter=117 wit=1396 mempoolReject=1396 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:31:46 iter=118 wit=1396 mempoolReject=1396 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:34:13 iter=119 wit=1418 mempoolReject=1418 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:36:03 iter=120 wit=1429 mempoolReject=1429 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:37:53 iter=121 wit=1440 mempoolReject=1440 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:39:22 iter=122 wit=1451 mempoolReject=1451 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:41:03 iter=123 wit=1462 mempoolReject=1462 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:42:02 iter=124 wit=1463 mempoolReject=1463 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:43:01 iter=125 wit=1474 mempoolReject=1474 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:45:33 iter=126 wit=1485 mempoolReject=1485 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:46:59 iter=127 wit=1496 mempoolReject=1496 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:48:46 iter=128 wit=1507 mempoolReject=1507 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:51:04 iter=129 wit=1517 mempoolReject=1517 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:52:24 iter=130 wit=1529 mempoolReject=1527 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:53:35 iter=131 wit=1529 mempoolReject=1529 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:54:46 iter=132 wit=1539 mempoolReject=1539 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:55:48 iter=133 wit=1550 mempoolReject=1550 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:57:17 iter=134 wit=1551 mempoolReject=1551 mempoolAdd=0 relay2_crit=0 relay2_restart=0
06:59:46 iter=135 wit=1573 mempoolReject=1573 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:01:30 iter=136 wit=1583 mempoolReject=1583 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:02:32 iter=137 wit=1583 mempoolReject=1583 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:04:01 iter=138 wit=1593 mempoolReject=1593 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:05:58 iter=139 wit=1603 mempoolReject=1603 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:07:15 iter=140 wit=1613 mempoolReject=1613 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:09:02 iter=141 wit=1624 mempoolReject=1624 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:10:22 iter=142 wit=1634 mempoolReject=1634 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:11:27 iter=143 wit=1635 mempoolReject=1635 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:12:41 iter=144 wit=1645 mempoolReject=1645 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:14:40 iter=145 wit=1655 mempoolReject=1655 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:16:03 iter=146 wit=1666 mempoolReject=1666 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:17:14 iter=147 wit=1676 mempoolReject=1676 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:18:13 iter=148 wit=1677 mempoolReject=1677 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:19:33 iter=149 wit=1688 mempoolReject=1688 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:20:56 iter=150 wit=1699 mempoolReject=1699 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:22:23 iter=151 wit=1700 mempoolReject=1700 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:23:49 iter=152 wit=1711 mempoolReject=1711 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:25:39 iter=153 wit=1722 mempoolReject=1722 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:27:23 iter=154 wit=1732 mempoolReject=1732 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:29:17 iter=155 wit=1742 mempoolReject=1742 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:30:10 iter=156 wit=1753 mempoolReject=1753 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:31:15 iter=157 wit=1754 mempoolReject=1754 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:32:53 iter=158 wit=1765 mempoolReject=1765 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:34:22 iter=159 wit=1776 mempoolReject=1776 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:35:27 iter=160 wit=1776 mempoolReject=1776 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:36:32 iter=161 wit=1787 mempoolReject=1787 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:38:07 iter=162 wit=1797 mempoolReject=1797 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:39:55 iter=163 wit=1808 mempoolReject=1808 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:41:03 iter=164 wit=1818 mempoolReject=1818 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:42:53 iter=165 wit=1829 mempoolReject=1829 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:45:05 iter=166 wit=1840 mempoolReject=1840 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:46:16 iter=167 wit=1841 mempoolReject=1841 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:47:33 iter=168 wit=1851 mempoolReject=1851 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:48:38 iter=169 wit=1863 mempoolReject=1863 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:49:40 iter=170 wit=1863 mempoolReject=1863 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:51:43 iter=171 wit=1873 mempoolReject=1873 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:53:03 iter=172 wit=1883 mempoolReject=1883 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:54:53 iter=173 wit=1893 mempoolReject=1893 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:56:17 iter=174 wit=1904 mempoolReject=1904 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:57:28 iter=175 wit=1915 mempoolReject=1915 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:58:33 iter=176 wit=1916 mempoolReject=1916 mempoolAdd=0 relay2_crit=0 relay2_restart=0
07:59:29 iter=177 wit=1927 mempoolReject=1927 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:01:38 iter=178 wit=1939 mempoolReject=1939 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:02:40 iter=179 wit=1939 mempoolReject=1939 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:03:57 iter=180 wit=1950 mempoolReject=1950 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:04:56 iter=181 wit=1960 mempoolReject=1960 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:06:19 iter=182 wit=1972 mempoolReject=1962 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:07:43 iter=183 wit=1973 mempoolReject=1973 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:09:48 iter=184 wit=1984 mempoolReject=1984 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:11:36 iter=185 wit=1994 mempoolReject=1994 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:13:14 iter=186 wit=2004 mempoolReject=2004 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:15:47 iter=187 wit=2025 mempoolReject=2025 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:17:31 iter=188 wit=2036 mempoolReject=2036 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:18:52 iter=189 wit=2037 mempoolReject=2037 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:20:30 iter=190 wit=2047 mempoolReject=2047 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:21:44 iter=191 wit=2058 mempoolReject=2058 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:22:50 iter=192 wit=2068 mempoolReject=2068 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:24:01 iter=193 wit=2069 mempoolReject=2069 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:25:06 iter=194 wit=2080 mempoolReject=2080 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:26:45 iter=195 wit=2091 mempoolReject=2091 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:28:35 iter=196 wit=2103 mempoolReject=2103 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:30:08 iter=197 wit=2114 mempoolReject=2114 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:31:37 iter=198 wit=2115 mempoolReject=2115 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:33:19 iter=199 wit=2125 mempoolReject=2125 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:35:04 iter=200 wit=2135 mempoolReject=2135 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:36:39 iter=201 wit=2145 mempoolReject=2145 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:38:18 iter=202 wit=2155 mempoolReject=2155 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:39:17 iter=203 wit=2166 mempoolReject=2166 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:40:16 iter=204 wit=2167 mempoolReject=2167 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:41:28 iter=205 wit=2179 mempoolReject=2178 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:42:42 iter=206 wit=2179 mempoolReject=2179 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:43:42 iter=207 wit=2190 mempoolReject=2190 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:45:02 iter=208 wit=2201 mempoolReject=2201 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:47:02 iter=209 wit=2212 mempoolReject=2212 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:48:44 iter=210 wit=2224 mempoolReject=2223 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:49:52 iter=211 wit=2224 mempoolReject=2224 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:50:49 iter=212 wit=2234 mempoolReject=2234 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:51:57 iter=213 wit=2244 mempoolReject=2244 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:54:30 iter=214 wit=2256 mempoolReject=2256 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:55:51 iter=215 wit=2266 mempoolReject=2266 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:57:29 iter=216 wit=2278 mempoolReject=2278 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:58:44 iter=217 wit=2279 mempoolReject=2279 mempoolAdd=0 relay2_crit=0 relay2_restart=0
08:59:53 iter=218 wit=2290 mempoolReject=2290 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:01:28 iter=219 wit=2301 mempoolReject=2301 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:02:46 iter=220 wit=2311 mempoolReject=2311 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:04:19 iter=221 wit=2312 mempoolReject=2312 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:05:21 iter=222 wit=2322 mempoolReject=2322 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:06:33 iter=223 wit=2333 mempoolReject=2332 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:07:57 iter=224 wit=2333 mempoolReject=2333 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:09:08 iter=225 wit=2343 mempoolReject=2343 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:11:08 iter=226 wit=2353 mempoolReject=2353 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:13:20 iter=227 wit=2363 mempoolReject=2363 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:14:38 iter=228 wit=2373 mempoolReject=2373 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:15:50 iter=229 wit=2384 mempoolReject=2384 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:17:44 iter=230 wit=2395 mempoolReject=2395 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:18:59 iter=231 wit=2396 mempoolReject=2396 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:20:01 iter=232 wit=2406 mempoolReject=2406 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:21:28 iter=233 wit=2417 mempoolReject=2417 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:22:43 iter=234 wit=2418 mempoolReject=2418 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:25:07 iter=235 wit=2438 mempoolReject=2438 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:26:16 iter=236 wit=2439 mempoolReject=2439 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:27:28 iter=237 wit=2449 mempoolReject=2449 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:28:31 iter=238 wit=2459 mempoolReject=2459 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:30:13 iter=239 wit=2471 mempoolReject=2471 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:31:52 iter=240 wit=2482 mempoolReject=2482 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:32:58 iter=241 wit=2483 mempoolReject=2483 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:34:30 iter=242 wit=2493 mempoolReject=2493 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:37:04 iter=243 wit=2503 mempoolReject=2503 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:38:19 iter=244 wit=2513 mempoolReject=2513 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:40:46 iter=245 wit=2524 mempoolReject=2524 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:41:55 iter=246 wit=2534 mempoolReject=2534 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:42:52 iter=247 wit=2545 mempoolReject=2545 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:44:25 iter=248 wit=2546 mempoolReject=2546 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:47:47 iter=249 wit=2566 mempoolReject=2566 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:49:20 iter=250 wit=2577 mempoolReject=2577 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:50:26 iter=251 wit=2588 mempoolReject=2588 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:51:47 iter=252 wit=2589 mempoolReject=2589 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:52:50 iter=253 wit=2599 mempoolReject=2599 mempoolAdd=0 relay2_crit=0 relay2_restart=0
09:54:29 iter=254 wit=2610 mempoolReject=2610 mempoolAdd=0 relay2_crit=0 relay2_restart=0
