pp.protocolVersion.float	REJECT	1	0.02	InstantiationError
pp.protocolVersion.half	REJECT	1	0.02	InstantiationError
pp.protocolVersion.huge	REJECT	1	0.02	InstantiationError
pp.protocolVersion.missing	REJECT	1	0.02	InstantiationError
pp.protocolVersion.neg1	REJECT	1	0.02	InstantiationError
pp.protocolVersion.negf	REJECT	1	0.02	InstantiationError
pp.protocolVersion.null	REJECT	1	0.02	InstantiationError
pp.protocolVersion.one	REJECT	1	0.02	InstantiationError
pp.protocolVersion.sci	REJECT	1	0.02	InstantiationError
pp.protocolVersion.str	REJECT	1	0.02	InstantiationError
pp.protocolVersion.tiny	REJECT	1	0.02	InstantiationError
pp.protocolVersion.zero	REJECT	1	0.02	InstantiationError
pp.rho.big63	REJECT	1	0.02	InstantiationError
pp.rho.big64	REJECT	1	0.02	InstantiationError
pp.rho.bool	REJECT	1	0.02	InstantiationError
pp.rho.emptystr	REJECT	1	0.02	InstantiationError
pp.rho.float	REJECT	1	0.02	InstantiationError
pp.rho.half	ACCEPT	124	3.02	not-rejected(3s)
pp.rho.huge	REJECT	1	0.02	InstantiationError
pp.rho.missing	REJECT	1	0.02	InstantiationError
pp.rho.neg1	REJECT	1	0.02	InstantiationError
pp.rho.negf	REJECT	1	0.02	InstantiationError
pp.rho.null	REJECT	1	0.02	InstantiationError
pp.rho.one	ACCEPT	124	3.03	not-rejected(3s)
pp.rho.sci	REJECT	1	0.02	InstantiationError
pp.rho.str	REJECT	1	0.02	InstantiationError
pp.rho.tiny	REJECT	1	0.02	InstantiationError
pp.rho.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.tau.big63	REJECT	1	0.02	InstantiationError
pp.tau.big64	REJECT	1	0.02	InstantiationError
pp.tau.bool	REJECT	1	0.02	InstantiationError
pp.tau.emptystr	REJECT	1	0.02	InstantiationError
pp.tau.float	REJECT	1	0.02	InstantiationError
pp.tau.half	ACCEPT	124	3.03	not-rejected(3s)
pp.tau.huge	REJECT	1	0.02	InstantiationError
pp.tau.missing	REJECT	1	0.02	InstantiationError
pp.tau.neg1	REJECT	1	0.02	InstantiationError
pp.tau.negf	REJECT	1	0.02	InstantiationError
pp.tau.null	REJECT	1	0.02	InstantiationError
pp.tau.one	ACCEPT	124	3.02	not-rejected(3s)
pp.tau.sci	REJECT	1	0.02	InstantiationError
