[dwarf-cov] surface=txsub seconds=28800 corpus=/opt/corpora/txsub
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 191, exec speed = 11478 us, hash = 53d086b56b16cb97
    len = 7, map size = 225, exec speed = 12384 us, hash = ac7ad1589136e34c
    len = 7, map size = 225, exec speed = 12507 us, hash = 81b6402e7d8c7e72
    len = 3, map size = 193, exec speed = 12335 us, hash = 6a95eb4d287dfaf0
[+] All set and ready to roll!
[*] Fuzzing test case #25 (233 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11960, hits=0, map=191, ascii=0, run_time=0:02:03:57, cvg=0.06%) FS (t=0:00:00:25 (0.35%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #85 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12086, hits=0, map=198, ascii=0, run_time=0:02:09:05, cvg=0.06%) FS (t=0:00:00:25 (0.33%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #34 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12048, hits=0, map=167, ascii=0, run_time=0:02:14:09, cvg=0.06%) FS (t=0:00:00:25 (0.32%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #107 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12128, hits=0, map=168, ascii=0, run_time=0:02:19:13, cvg=0.06%) FS (t=0:00:00:25 (0.31%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #64 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11846, hits=0, map=186, ascii=0, run_time=0:02:24:18, cvg=0.06%) FS (t=0:00:00:25 (0.30%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #92 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12036, hits=0, map=227, ascii=0, run_time=0:02:29:25, cvg=0.06%) FS (t=0:00:00:25 (0.29%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #17 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11965, hits=0, map=191, ascii=0, run_time=0:02:34:28, cvg=0.06%) FS (t=0:00:00:25 (0.28%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #29 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12186, hits=0, map=191, ascii=0, run_time=0:02:39:33, cvg=0.06%) FS (t=0:00:00:25 (0.27%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #82 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12254, hits=0, map=168, ascii=0, run_time=0:02:44:36, cvg=0.06%) FS (t=0:00:00:25 (0.26%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #104 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11934, hits=0, map=178, ascii=0, run_time=0:02:49:40, cvg=0.06%) FS (t=0:00:00:25 (0.25%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #96 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12024, hits=0, map=170, ascii=0, run_time=0:02:54:43, cvg=0.06%) FS (t=0:00:00:25 (0.25%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #169 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12130, hits=0, map=206, ascii=0, run_time=0:02:59:49, cvg=0.06%) FS (t=0:00:00:25 (0.24%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #159 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12037, hits=0, map=202, ascii=0, run_time=0:03:04:53, cvg=0.06%) FS (t=0:00:00:25 (0.23%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #182 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11845, hits=0, map=201, ascii=0, run_time=0:03:09:59, cvg=0.06%) FS (t=0:00:00:25 (0.23%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #127 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12097, hits=0, map=192, ascii=0, run_time=0:03:15:09, cvg=0.06%) FS (t=0:00:00:25 (0.22%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #0 (233 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11478, hits=0, map=191, ascii=0, run_time=0:03:20:13, cvg=0.06%) FS (t=0:00:00:25 (0.21%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #38 (234 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12072, hits=0, map=191, ascii=0, run_time=0:03:25:19, cvg=0.06%) FS (t=0:00:00:25 (0.21%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #182 (234 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11845, hits=0, map=201, ascii=0, run_time=0:03:30:29, cvg=0.06%) FS (t=0:00:00:25 (0.20%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #125 (234 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12278, hits=0, map=175, ascii=0, run_time=0:03:35:42, cvg=0.06%) FS (t=0:00:00:25 (0.20%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #21 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12090, hits=0, map=191, ascii=0, run_time=0:03:40:46, cvg=0.06%) FS (t=0:00:00:25 (0.19%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #222 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=200, weight=0, favorite=1, was_fuzzed=1, exec_us=11978, hits=0, map=201, ascii=0, run_time=0:03:45:54, cvg=0.06%) FS (t=0:00:00:25 (0.19%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #32 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12048, hits=0, map=191, ascii=0, run_time=0:03:51:14, cvg=0.06%) FS (t=0:00:00:25 (0.19%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #85 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12086, hits=0, map=198, ascii=0, run_time=0:03:56:27, cvg=0.06%) FS (t=0:00:00:25 (0.18%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #14 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11998, hits=0, map=191, ascii=0, run_time=0:04:01:37, cvg=0.06%) FS (t=0:00:00:25 (0.18%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #137 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12189, hits=0, map=237, ascii=0, run_time=0:04:06:53, cvg=0.06%) FS (t=0:00:00:25 (0.17%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #50 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12037, hits=0, map=179, ascii=0, run_time=0:04:12:02, cvg=0.06%) FS (t=0:00:00:25 (0.17%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #137 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12189, hits=0, map=237, ascii=0, run_time=0:04:17:06, cvg=0.06%) FS (t=0:00:00:25 (0.17%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #91 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12088, hits=0, map=168, ascii=0, run_time=0:04:27:53, cvg=0.06%) FS (t=0:00:00:25 (0.16%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #78 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12005, hits=0, map=178, ascii=0, run_time=0:04:33:12, cvg=0.06%) FS (t=0:00:00:25 (0.16%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #209 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12315, hits=0, map=235, ascii=0, run_time=0:04:38:21, cvg=0.06%) FS (t=0:00:00:25 (0.15%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #186 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12111, hits=0, map=191, ascii=0, run_time=0:04:43:36, cvg=0.06%) FS (t=0:00:00:25 (0.15%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #110 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12289, hits=0, map=170, ascii=0, run_time=0:04:48:50, cvg=0.06%) FS (t=0:00:00:25 (0.15%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #98 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12013, hits=0, map=168, ascii=0, run_time=0:04:54:12, cvg=0.06%) FS (t=0:00:00:25 (0.15%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #171 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11910, hits=0, map=205, ascii=0, run_time=0:04:59:20, cvg=0.06%) FS (t=0:00:00:25 (0.14%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #152 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12257, hits=0, map=206, ascii=0, run_time=0:05:04:29, cvg=0.06%) FS (t=0:00:00:25 (0.14%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #58 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12035, hits=0, map=193, ascii=0, run_time=0:05:09:40, cvg=0.06%) FS (t=0:00:00:25 (0.14%), st=2105, avg=110 ms, found=0/234)...
[*] Fuzzing test case #27 (234 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12233, hits=0, map=191, ascii=0, run_time=0:05:14:56, cvg=0.06%) FS (t=0:00:00:25 (0.14%), st=2105, avg=110 ms, found=0/234)...
