[dwarf-cov] surface=keepalive seconds=28800 corpus=/opt/corpora/keepalive
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 183, exec speed = 12789 us, hash = ab54d88dc6a919bb
    len = 5, map size = 183, exec speed = 12239 us, hash = 3c258ed9f4351ee2
    len = 5, map size = 210, exec speed = 12357 us, hash = 379f6e009a5a38dd
    len = 5, map size = 210, exec speed = 12391 us, hash = 379f6e009a5a38dd
[+] All set and ready to roll!
[*] Fuzzing test case #72 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12216, hits=0, map=174, ascii=0, run_time=0:03:12:47, cvg=0.05%) FS (t=0:00:00:12 (0.10%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #64 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12269, hits=0, map=162, ascii=0, run_time=0:03:17:44, cvg=0.05%) FS (t=0:00:00:12 (0.10%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #141 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12267, hits=0, map=183, ascii=0, run_time=0:03:22:42, cvg=0.05%) FS (t=0:00:00:12 (0.10%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #11 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12122, hits=0, map=183, ascii=0, run_time=0:03:27:41, cvg=0.05%) FS (t=0:00:00:12 (0.10%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #160 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12331, hits=0, map=183, ascii=0, run_time=0:03:32:39, cvg=0.05%) FS (t=0:00:00:12 (0.09%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #120 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12381, hits=0, map=204, ascii=0, run_time=0:03:37:38, cvg=0.05%) FS (t=0:00:00:12 (0.09%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #130 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12423, hits=0, map=204, ascii=0, run_time=0:03:42:36, cvg=0.05%) FS (t=0:00:00:12 (0.09%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #68 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12009, hits=0, map=162, ascii=0, run_time=0:03:47:36, cvg=0.05%) FS (t=0:00:00:12 (0.09%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #113 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12266, hits=0, map=162, ascii=0, run_time=0:03:52:34, cvg=0.05%) FS (t=0:00:00:12 (0.09%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #92 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12219, hits=0, map=169, ascii=0, run_time=0:03:57:33, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #102 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11794, hits=0, map=162, ascii=0, run_time=0:04:02:32, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #79 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12060, hits=0, map=174, ascii=0, run_time=0:04:07:31, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #123 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12073, hits=0, map=204, ascii=0, run_time=0:04:12:29, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #131 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12343, hits=0, map=204, ascii=0, run_time=0:04:17:27, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #20 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12191, hits=0, map=183, ascii=0, run_time=0:04:28:04, cvg=0.05%) FS (t=0:00:00:12 (0.08%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #32 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12216, hits=0, map=173, ascii=0, run_time=0:04:33:03, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #113 (173 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12266, hits=0, map=162, ascii=0, run_time=0:04:38:04, cvg=0.05%) FS (t=0:00:00:12 (0.07%), st=995, avg=70 ms, found=0/172)...
